month,leads,diagnostics,paid_audits,pilots,department_implementations,retainer_clients,revenue_rub,direct_costs_rub,gross_profit_rub,notes
1,30,8,2,1,0,0,290000,110000,180000,"1 audit at 55000 avg, 1 pilot at 180000"
2,45,12,3,1,0,0,365000,140000,225000,"More diagnostics, still founder-led delivery"
3,60,16,4,2,0,1,710000,290000,420000,"First retainer after pilot"
4,75,20,5,2,1,2,1375000,590000,785000,"First department implementation"
5,90,24,6,3,1,3,1750000,760000,990000,"Repeatable pilot package"
6,110,30,7,3,1,4,1885000,805000,1080000,"Partner channel starts"
7,125,34,8,4,1,5,2300000,990000,1310000,"Hire junior implementer"
8,140,38,9,4,2,6,3025000,1330000,1695000,"Two larger implementations"
9,155,42,10,4,2,7,3160000,1385000,1775000,"Retainers stabilize cash flow"
10,170,46,11,5,2,8,3595000,1580000,2015000,"More inbound content"
11,185,50,12,5,2,9,3730000,1635000,2095000,"Improve delivery templates"
12,200,54,13,5,3,10,4595000,2030000,2565000,"Scale through partners and referrals"

